Name,Price,Calories
Spicy McCrispy™,Price – $5.49,531 Cal.
Big Mac®,Price – $5.29,590 Cal.
Chicken McNuggets®,Price – $2.99,170 Cal.
Quarter Pounder® with Cheese,Price – $6.39,520 Cal.
Iced Coffee,Price – $2.19,140 Cal.
Egg McMuffin®,Price – $5.43,310 Cal.
Sausage Burrito,Price – $2.69,310 Cal.
Chicken Big Mac®,Price – $5.99,700 Cal.
McRib®*,Price – $4.49,520 Cal.
McCrispy™ Strips,3 piece  Price – $5.29,350 Cal.
The Angel Reese Special,,
BBQ Bacon Quarter Pounder®* with Cheese,$6.89 and $8.49,630 calories.
Double BBQ Bacon Quarter Pounder®* with Cheese,$7.69 and $9.49,850 calories.
Sausage Biscuit,Price – $2.43,460 Cal.
Sausage McMuffin®,Price – $2.67,400 Cal.
Sausage Burrito,Price – $2.69,310 Cal.
Hash Browns,Price – $2.69,140 Cal.
Double Cheeseburger,Price – $4.19,450 Cal.
McChicken®,Price – $3.10,400 Cal.
6 Piece Chicken McNuggets®,Price – $9.39,250 Cal.
Small World Famous Fries®,Price – $1.89,230 Cal.
"Bacon, Egg & Cheese Biscuit",Price – 9.89,460 Cal.
Egg McMuffin®,Price – $5.43,310 Cal.
Sausage McMuffin®,Price – $2.67,400 Cal.
Sausage McMuffin® with Egg,Price – $7.59,480 Cal.
Sausage Biscuit,Price – $2.43,460 Cal.
Sausage Biscuit with Egg,Price – $7.59,530 Cal.
"Bacon, Egg & Cheese McGriddles®",Price – $5.72,430 Cal.
Sausage McGriddles®,Price – $3.65,430 Cal.
"Sausage, Egg & Cheese McGriddles®",Price – $5.65,550 Cal.
"Bacon, Egg & Cheese Bagel",$5.29,590 Cal.
"Sausage, Egg & Cheese Bagel",$5.29,710 Cal.
"Steak, Egg & Cheese Bagel",$6.79,680 Cal.
Bagel (plain),$2.29,270 Cal.
Egg and Cheese Bagel,$2.29,520 Cal.
Big Breakfast®,Price – $6.70,760 Cal.
Big Breakfast® with Hotcakes,Price – $8.59,1340 Cal.
Hotcakes,Price – $5.69,580 Cal.
Hotcakes and Sausage,Price – $5.97,770 Cal.
Sausage Burrito,Price – $2.69,310 Cal.
Hash Browns,Price – $2.69,140 Cal.
